Período;Nº de acionamentos do Serviço de Helicópteros de Emergência Médica (SHEM);Nº de acionamentos das Viaturas Médica de Emergência e Reanimação (VMER);Nº de acionamentos de Ambulâncias de Transporte Inter-Hospitalar Pediátrico (TIP);Nº de acionamentos das Ambulâncias de Suporte Imediato de Vida (SIV);Nº de acionamentos das Ambulâncias de Emergência Médica (AEM);Nº de acionamentos dos Motociclos de Emergência Médica (MEM);Nº de acionamentos das Unidade Móvel de Intervenção Psicológica de Emergência (UMIPE);Nº de acionamentos das Ambulâncias de Socorro sedeadas em Postos de Emergência Médica (PEM);Nº de acionamentos das Ambulâncias de Socorro sedeadas em Postos Reserva (RES);Nº de acionamentos das Ambulâncias sedeadas em Postos Não INEM (NINEM)
2022-11-10;3;248;6;98;279;27;2;3036;294;144
2022-11-11;5;267;3;88;247;34;5;2900;283;150
2022-11-18;4;240;4;88;242;21;1;2686;267;156
2022-11-20;1;266;6;115;291;0;5;2756;255;172
2022-11-22;0;253;2;96;280;21;4;2775;274;146
2022-11-24;1;234;5;121;257;16;3;2831;271;136
2023-01-06;0;261;3;96;331;23;6;2890;228;148
2023-01-07;2;265;1;113;307;0;3;2721;203;139
2023-01-10;2;261;3;121;298;27;5;2925;229;147
2023-01-13;5;249;1;108;341;36;1;2849;234;149
2023-01-19;3;258;7;103;337;13;4;2797;231;156
2023-01-21;6;269;4;114;288;0;3;2748;229;160
2023-01-25;2;255;2;87;354;25;5;2796;256;149
2023-01-27;3;286;3;116;362;27;6;3049;253;154
2023-01-28;3;285;2;93;338;0;5;2732;241;142
2023-01-30;5;279;5;119;370;17;1;3005;245;142
2023-01-31;3;270;5;95;316;33;0;2958;231;114
2023-02-03;2;283;5;108;316;31;3;3099;265;158
2023-02-04;5;281;4;112;312;0;7;2901;249;147
2023-02-06;8;294;5;112;343;18;2;3092;272;167
2023-02-07;5;249;2;103;347;16;4;2799;225;145
2023-02-09;5;269;4;107;322;20;3;2969;243;146
2023-02-18;2;218;4;98;273;0;4;2692;227;147
2023-02-25;0;246;2;104;303;0;5;2509;206;135
2023-02-27;6;290;3;108;328;29;6;2945;224;154
2023-02-28;4;239;3;105;341;45;3;2773;223;154
2023-03-05;1;246;2;111;302;0;4;2565;187;144
2023-03-09;0;259;6;112;290;29;1;2877;258;139
2023-03-13;3;231;4;94;334;26;2;2887;206;139
2023-03-14;2;239;3;95;355;25;2;2765;218;130
2023-03-22;3;227;3;100;339;19;1;2673;219;110
2023-03-28;4;249;3;102;357;34;9;2851;228;142
2023-04-01;3;236;4;90;246;0;5;2609;195;146
2023-04-07;2;230;3;106;264;6;6;2645;229;145
2023-04-14;3;250;4;110;249;25;4;2595;205;147
2023-04-20;3;253;6;97;274;27;6;2781;246;162
2023-04-22;3;233;2;104;235;0;4;2682;220;160
2023-04-26;7;268;4;91;291;22;3;2849;201;157
2023-05-01;3;231;1;92;272;0;3;2686;194;151
2023-05-05;4;231;4;104;286;21;2;2737;222;173
2023-05-15;7;263;3;95;336;15;5;3057;231;145
2023-05-22;4;243;3;107;287;16;2;3153;247;152
2023-05-24;5;240;4;95;305;20;3;2936;227;160
2023-05-26;2;257;5;93;273;12;6;2831;206;167
2023-05-29;4;247;2;98;320;20;7;2904;226;153
2023-06-05;3;256;2;81;323;25;5;3030;225;152
2023-06-12;4;224;7;94;274;20;2;2865;208;141
2023-06-14;4;228;4;107;283;51;1;2896;223;160
2023-06-26;4;276;7;109;315;26;6;3252;249;150
2023-06-27;3;243;3;106;285;26;4;2894;209;148
2023-07-04;5;230;4;101;268;23;2;2778;191;137
2023-07-06;3;249;1;104;239;27;6;2916;233;140
2023-07-23;1;255;2;102;281;8;1;2817;269;108
2023-07-29;4;266;3;115;267;2;5;3040;287;105
2023-08-01;2;237;5;104;274;35;5;2914;292;136
2023-08-11;5;253;0;114;301;22;5;3158;331;101
2023-08-18;7;254;1;93;253;31;2;2984;320;68
2023-08-20;4;248;4;115;234;5;1;3013;336;90
2023-08-28;2;236;7;95;283;28;4;2954;308;65
2023-09-02;4;229;3;97;198;4;1;2787;282;87
2023-09-19;3;225;2;86;269;45;3;2767;251;104
2023-09-24;4;241;9;101;247;4;5;2776;249;123
2023-10-03;3;256;4;94;281;32;7;2840;258;117
2023-10-16;1;238;1;100;288;34;2;2887;295;137
2023-10-17;2;257;4;99;283;16;1;2721;259;169
2023-10-18;1;232;2;84;275;22;3;2688;294;116
2023-10-22;3;225;2;92;216;0;10;2482;282;87
2023-10-27;2;225;3;104;245;25;2;2555;254;120
2023-10-31;3;239;4;83;285;19;2;2653;275;127
2023-11-06;1;263;6;97;284;16;3;2913;289;160
2023-11-08;1;223;7;104;290;13;3;2792;263;116
2023-11-13;2;268;4;107;306;29;0;3068;357;128
2023-11-21;3;242;13;90;274;34;3;2778;264;118
2023-11-28;1;257;2;102;309;20;5;2968;304;149
2023-12-01;2;254;5;93;223;0;3;2605;268;91
2023-12-04;5;273;10;92;227;27;2;3089;326;107
2023-12-06;3;280;4;99;227;13;2;2958;290;158
2023-12-13;3;243;7;101;256;29;0;2931;370;103
2023-12-22;2;292;11;110;287;30;2;3203;405;179
2024-01-02;2;331;2;119;320;18;4;3496;470;121
2024-01-03;6;299;4;130;308;20;8;3552;428;164
2024-01-08;2;265;6;104;329;27;3;3044;359;114
2024-01-09;1;282;5;120;299;10;4;2801;352;147
2024-01-11;4;313;3;117;287;28;7;3004;349;155
2024-01-15;0;295;6;115;292;27;5;3369;382;160
2024-01-23;2;270;5;103;283;10;4;2834;362;118
2024-01-25;1;237;4;103;294;24;4;2736;372;130
2024-01-27;3;250;7;90;268;4;4;2532;285;132
2024-02-13;0;249;2;104;298;8;4;2578;309;119
2024-02-14;3;247;4;104;301;21;1;2835;298;126
2024-02-22;2;219;5;92;284;8;3;2476;327;103
2024-02-23;3;228;3;89;281;11;4;2596;339;103
2024-03-01;0;241;2;111;216;23;3;2708;348;149
2024-03-02;4;275;2;105;235;0;2;2483;303;154
2024-03-12;3;268;3;122;272;19;3;2881;444;129
2024-03-15;1;268;2;97;270;30;5;2914;398;159
2024-03-25;3;248;4;98;252;10;3;2810;398;122
2024-03-31;2;262;4;122;215;0;1;2487;320;104
2024-04-02;1;242;6;94;234;15;3;2587;367;137
2024-04-06;4;249;3;87;234;5;3;2671;313;122
2024-04-09;1;232;4;88;266;30;4;2809;375;129
2024-04-13;5;222;2;101;235;0;5;2839;340;122
2024-04-14;4;265;4;98;239;0;7;2750;330;146
2024-04-16;4;244;3;90;282;27;4;2939;395;116
2024-04-25;3;209;3;72;222;2;2;2410;294;141
2024-04-26;3;234;6;106;228;15;4;2788;293;151
2024-04-29;2;271;6;113;293;16;2;2819;375;138
2024-05-01;0;188;3;85;230;2;3;2326;240;111
2024-05-06;2;245;4;107;268;29;6;2944;375;131
2024-05-15;1;242;6;97;232;30;9;2740;284;134
2024-05-19;2;218;1;92;211;2;5;2705;312;113
2024-05-26;2;225;2;93;231;6;5;2748;294;145
2024-05-30;4;262;1;101;225;4;1;2866;298;137
2024-06-01;6;224;1;88;214;4;5;2766;328;126
2024-06-09;2;245;3;109;221;10;3;2856;253;156
2024-06-13;1;237;0;111;219;29;3;2723;285;157
2024-06-14;2;216;4;107;216;32;4;2800;297;157
2024-06-16;3;215;1;94;200;7;3;2616;279;144
2024-06-21;2;237;1;91;199;29;4;2789;308;165
2024-06-23;4;244;5;100;222;5;2;2938;275;154
2024-07-03;6;272;7;114;250;26;3;2998;279;115
2024-07-04;5;259;5;105;285;19;7;3046;320;160
2024-07-11;5;269;9;127;259;35;3;2915;311;122
2024-07-20;5;237;4;104;224;11;2;2812;249;161
2024-07-26;4;237;8;105;269;40;3;2932;294;151
2024-07-27;4;243;2;123;223;8;8;2905;311;139
2024-07-31;4;231;4;110;260;38;3;2888;299;149
2024-08-11;2;246;3;107;204;2;4;2878;288;131
2024-08-14;4;219;3;100;206;35;4;2762;270;123
2024-08-16;4;227;6;90;193;29;1;2975;249;126
2024-08-18;4;253;3;108;206;12;2;2784;252;113
2024-08-19;5;210;5;92;271;28;4;2893;266;140
2024-08-23;1;205;4;98;231;34;1;2731;252;120
2024-08-27;5;208;6;87;254;29;2;2709;235;125
2024-08-29;2;232;2;85;245;29;4;2707;236;148
2024-09-03;3;205;2;88;226;28;2;2651;257;120
2024-09-04;1;226;5;93;244;28;4;2695;246;146
2024-09-10;4;241;4;97;257;27;4;2646;239;139
2024-09-14;5;219;0;99;223;0;2;2630;215;115
2024-09-17;5;232;5;90;306;39;6;2808;255;107
2024-09-18;4;237;1;104;276;28;4;2814;256;97
2024-09-19;0;238;6;93;262;51;6;2810;255;114
2024-10-03;0;251;4;91;246;23;3;2935;299;143
2024-10-04;3;222;5;100;274;17;6;2809;289;133
2024-10-13;3;220;4;111;252;3;4;2769;251;135
2024-10-19;5;227;2;98;248;0;1;2618;245;166
2024-10-21;2;250;7;112;278;20;7;3068;314;135
2024-10-24;3;216;7;87;288;28;4;2788;270;130
2024-11-04;0;185;5;67;111;2;3;2099;158;98
2024-11-10;3;251;2;97;202;1;2;2640;237;155
2024-11-16;5;270;0;118;242;0;2;2841;245;119
2024-11-24;3;248;1;97;233;0;1;2550;225;134
2024-11-27;4;218;5;71;209;17;1;2467;203;108
2024-12-09;3;294;4;124;267;29;6;3107;279;145
2024-12-10;1;248;4;104;253;22;1;3003;292;125
2024-12-17;0;236;4;109;295;14;2;3096;321;141
2024-12-31;2;255;2;110;213;5;2;2729;236;119
2025-01-18;5;282;2;114;242;0;8;3023;396;3
2025-01-22;0;299;4;110;263;16;5;3299;417;4
2025-01-24;2;263;0;103;286;32;5;3101;443;1
2025-01-30;1;255;3;111;291;14;7;3015;402;1
2025-01-31;4;273;3;100;306;35;7;3118;422;1
2025-02-10;3;275;5;126;280;20;5;3486;454;2
2025-02-14;1;264;6;106;260;26;6;3246;426;1
2025-02-26;3;256;5;94;274;21;4;3168;393;2
2025-02-28;4;271;2;102;286;17;7;3112;414;0
2025-03-06;2;255;2;96;279;20;2;2970;439;0
2025-03-12;1;280;2;94;272;22;4;3116;414;0
2025-03-15;1;252;3;107;207;0;5;3004;430;0
2025-03-17;3;267;8;113;283;30;3;3321;467;1
2025-03-18;2;242;4;104;271;22;5;3199;434;1
2025-03-23;4;268;4;96;239;0;8;2784;372;3
2025-03-27;2;271;3;113;284;22;6;3100;429;0
2018-03-01;0;268;4;106;476;17;3;2496;506;141
2018-03-03;0;281;6;104;462;0;1;2219;457;105
2018-03-04;2;271;4;113;448;0;3;2268;445;106
2018-03-07;2;240;4;94;443;32;5;2214;440;148
2018-03-09;0;259;7;107;453;10;2;2456;455;145
2018-03-15;0;257;2;108;421;18;5;2209;399;128
2018-03-18;1;273;2;101;421;0;2;2158;430;111
2018-03-20;4;256;6;101;418;27;2;2063;396;116
2018-03-23;2;270;6;94;442;23;3;2193;421;149
2018-03-25;3;248;0;107;431;0;1;2172;406;105
2018-03-26;2;253;5;114;413;35;3;2268;464;137
2018-03-28;0;239;5;97;431;21;5;2110;404;117
2018-03-30;1;255;5;77;399;1;7;2070;390;89
2018-04-08;4;258;6;88;388;0;6;2118;385;85
2018-04-11;4;246;8;93;421;26;2;2247;428;120
2018-04-13;3;274;3;110;450;26;1;2327;421;129
2018-04-16;5;268;5;106;445;34;0;2406;494;146
2018-04-17;3;256;3;108;458;32;3;2377;424;138
2018-04-19;2;282;4;91;456;38;3;2382;453;130
2018-04-22;0;275;1;96;400;0;2;2198;376;114
2018-04-28;4;220;3;88;359;0;1;2013;349;72
2018-05-04;3;251;2;92;464;36;2;2275;377;140
2018-05-06;3;261;1;106;418;4;5;2237;379;92
2018-05-14;4;244;3;96;445;25;2;2238;401;143
2018-05-18;1;270;4;101;415;38;2;2254;411;139
2018-05-27;2;258;3;97;386;0;1;2003;354;99
2018-06-05;2;211;6;70;377;25;2;2062;396;110
2018-06-08;2;247;2;90;396;34;1;2213;390;145
2018-06-10;6;224;2;83;357;1;1;1961;320;98
2018-06-15;3;258;5;87;378;16;3;2266;418;118
2018-06-16;5;241;5;104;407;1;0;2161;393;101
2018-06-20;2;261;5;102;381;14;1;2322;421;123
2018-06-21;1;242;3;98;414;25;0;2229;435;135
2018-06-24;3;250;1;97;394;0;1;2384;411;112
2018-06-28;2;261;7;89;371;19;2;2133;390;148
2018-07-06;3;232;7;108;408;20;1;2211;402;111
2018-07-12;2;249;11;90;397;18;3;2320;410;105
2018-07-19;0;267;4;99;366;28;1;2129;347;100
2018-07-24;2;244;6;106;397;35;0;2196;368;118
2018-07-30;7;253;4;92;418;27;4;2327;416;125
2018-08-05;8;333;5;116;425;8;2;3081;553;152
2018-08-11;2;264;6;108;411;0;0;2478;420;116
2018-08-13;5;250;5;105;382;18;0;2381;425;121
2018-08-22;4;230;4;97;426;20;2;2433;395;124
2018-08-23;4;222;3;87;405;17;0;2347;417;123
2018-09-11;4;253;6;108;429;26;2;2396;393;123
2018-09-22;4;246;1;101;378;3;1;2367;374;138
2018-10-06;2;229;0;99;358;0;0;2208;372;89
2018-10-08;2;252;4;98;410;29;0;2414;400;127
2018-10-18;1;222;6;85;417;25;0;2257;344;135
2018-10-19;1;270;3;113;422;25;7;2401;431;122
2018-10-21;6;260;1;91;381;0;3;2207;331;90
2018-10-24;4;231;6;88;393;26;3;2383;335;135
2018-10-27;2;248;2;87;366;0;0;2092;325;90
2018-10-28;3;239;5;84;357;0;0;2056;346;89
2018-11-16;2;280;2;89;444;33;4;2415;435;163
2018-11-17;8;269;0;103;405;0;4;2159;362;109
2018-11-25;1;249;3;104;347;0;2;2102;349;96
2018-11-27;2;250;3;90;407;15;2;2221;375;131
2018-11-30;2;253;4;95;426;22;1;2442;379;141
2018-12-03;4;262;1;122;382;18;2;2407;405;119
2018-12-05;2;276;3;96;388;18;3;2209;395;141
2018-12-08;1;294;5;100;365;0;0;2187;376;124
2018-12-15;2;245;1;75;370;0;2;2304;402;120
2018-12-23;2;298;7;113;343;0;3;2560;381;108
2018-12-25;1;258;2;107;384;0;1;2400;382;97
2018-12-30;2;296;8;110;362;0;0;2355;344;97
2019-01-02;3;261;7;96;389;26;3;2674;446;156
2019-01-09;6;289;9;118;438;25;3;2660;426;160
2019-01-14;2;329;3;106;453;41;2;2884;481;142
2019-01-21;9;316;5;126;430;25;2;2903;448;126
2019-01-28;2;326;8;130;436;28;3;2746;460;129
2019-01-29;1;284;3;122;408;17;0;2555;395;131
2019-02-01;1;283;2;104;419;23;3;2397;420;125
2019-02-05;3;319;7;118;433;28;7;2673;437;130
2019-02-08;1;284;8;103;445;29;4;2664;404;134
2019-02-11;3;321;9;107;417;25;4;2847;472;149
2019-02-19;3;279;6;99;443;36;3;2531;422;122
2019-02-27;1;242;3;100;378;27;3;2422;371;144
2019-03-03;2;253;5;107;335;0;1;2313;359;100
2019-03-06;0;254;5;96;370;9;2;2193;372;126
2019-03-11;5;280;6;111;418;21;4;2459;403;133
2019-03-20;6;268;3;76;406;29;1;2242;358;140
2019-03-25;6;277;5;98;410;29;2;2548;412;130
2019-04-07;1;265;6;94;353;0;2;2220;309;100
2019-04-13;1;232;5;101;369;0;0;2156;358;108
2019-04-19;2;254;1;98;350;0;0;2085;337;102
2019-04-23;2;231;4;86;378;15;2;2156;318;111
2019-04-29;3;276;4;101;406;20;2;2429;388;106
2019-04-30;4;233;5;73;406;28;2;2239;334;101
2019-05-08;0;247;8;89;400;13;0;2204;342;111
2019-05-15;4;258;4;105;439;24;1;2456;392;121
2019-05-20;4;231;5;108;393;21;0;2386;404;115
2019-05-26;3;271;2;116;376;0;0;2234;347;96
2019-05-27;2;274;2;109;433;33;0;2517;379;118
2019-05-29;3;252;5;100;417;32;0;2444;386;114
2019-06-01;1;232;3;91;347;1;5;2375;377;137
2019-06-09;3;235;5;93;324;1;0;2118;323;113
2019-06-11;4;246;4;90;339;13;0;2317;325;116
2019-06-14;3;237;3;93;336;17;0;2193;331;109
2019-06-21;3;234;0;100;289;14;2;2403;349;145
2019-06-27;2;229;2;87;333;30;1;2391;345;132
2019-07-03;2;274;1;106;362;22;2;2336;323;112
2019-07-04;6;253;6;88;343;14;4;2287;326;133
2019-07-07;2;255;1;97;340;3;1;2282;299;91
2019-07-08;1;274;5;102;382;29;1;2488;360;126
2019-07-09;4;244;4;108;407;33;4;2428;345;112
2019-07-12;2;266;1;102;383;32;2;2533;372;102
2019-07-20;3;255;2;92;323;7;4;2360;313;109
2019-07-31;4;249;10;95;409;35;4;2357;361;109
2019-08-02;3;296;2;109;349;35;5;2459;373;111
2019-08-08;2;267;2;108;342;18;2;2441;354;135
2019-08-09;3;275;4;113;371;35;0;2454;339;105
2019-08-15;6;237;5;111;337;2;1;2339;358;96
2019-08-19;2;248;4;81;347;22;1;2314;347;113
2019-08-20;4;255;2;97;353;44;1;2461;358;110
2019-08-26;2;284;3;97;341;17;4;2537;359;118
2019-09-01;4;262;1;93;350;0;2;2342;305;92
2019-09-02;6;281;5;94;382;28;1;2495;373;128
2019-09-14;3;282;5;110;381;0;1;2400;371;93
2019-09-17;2;287;1;101;389;21;3;2356;351;105
2019-09-23;3;299;2;106;415;29;4;2533;358;125
2019-09-26;5;269;3;92;412;31;2;2480;327;127
2019-10-12;5;278;3;103;365;0;1;2437;324;104
2019-10-17;1;264;2;117;418;25;1;2398;357;137
2019-10-18;4;280;2;109;426;21;2;2559;390;130
2019-10-27;1;269;4;127;375;0;3;2366;326;106
2019-10-29;1;287;5;99;423;24;0;2618;368;132
2019-11-01;2;256;0;117;406;0;1;2352;340;140
2019-11-06;1;248;1;89;383;22;1;2412;326;142
2019-11-16;0;308;2;107;364;0;0;2529;360;108
2019-11-17;0;275;3;103;380;0;3;2402;336;97
2019-11-21;1;274;10;113;393;19;2;2541;392;120
2019-11-24;2;292;6;105;382;0;0;2435;355;103
2019-12-14;1;299;12;124;392;0;2;2544;382;135
2019-12-19;0;304;8;115;413;5;3;2511;334;117
2019-12-20;1;292;9;99;450;6;3;2523;379;121
2019-12-23;0;316;8;100;393;26;0;2665;412;101
2020-01-04;2;275;4;104;366;0;1;2395;367;106
2020-01-05;4;258;5;118;350;0;0;2355;338;92
2020-01-06;1;289;6;104;407;15;1;2653;428;129
2020-01-09;2;310;6;111;419;28;0;2736;383;122
2020-01-12;5;318;1;112;431;0;0;2570;391;105
2020-01-18;2;292;7;108;388;0;1;2571;396;126
2020-01-20;5;332;7;120;406;29;1;2693;403;128
2020-01-29;2;277;4;101;401;19;1;2646;381;136
2020-02-02;2;282;1;105;376;0;0;2598;420;116
2020-02-04;2;270;4;129;412;28;1;2571;380;108
2020-02-07;4;298;6;95;394;19;1;2584;359;115
2020-02-15;1;267;1;117;356;0;2;2362;350;120
2020-02-18;7;259;4;100;407;34;1;2429;324;126
2020-02-22;3;317;4;114;360;0;5;2486;346;121
2020-03-12;2;233;5;82;366;15;2;2298;320;103
2020-03-14;1;231;1;96;291;0;0;2046;293;86
2020-03-16;2;240;3;76;326;13;0;1999;269;108
2020-03-20;2;259;4;104;276;8;0;1760;236;89
2020-03-25;4;200;1;52;275;5;0;1708;264;93
2020-03-29;1;189;1;72;265;0;0;1572;238;72
2020-03-30;2;226;3;59;301;5;0;1722;228;88
2020-04-06;0;216;4;64;315;4;0;1015;228;83
2020-04-07;2;184;3;70;292;9;0;981;237;74
2020-04-15;0;179;2;54;290;3;0;898;206;90
2020-04-19;2;173;1;54;282;0;0;972;202;62
2020-04-20;1;180;1;56;274;6;0;897;262;70
2020-04-23;1;175;6;58;301;7;0;984;238;69
2020-04-24;2;171;1;63;329;13;0;981;238;87
2020-04-26;1;147;3;50;265;0;0;930;200;57
2020-04-28;3;176;2;69;306;12;0;966;228;85
2020-05-10;2;156;1;51;273;0;0;1545;209;60
2020-05-17;1;180;3;72;299;0;0;1826;236;92
2020-05-20;2;177;5;62;325;23;0;1809;256;100
2020-05-24;2;220;4;74;323;0;0;1925;252;96
2020-06-05;3;155;2;51;275;10;2;1971;257;118
2020-06-10;2;166;3;68;281;0;2;1832;195;93
2020-06-23;4;205;2;78;315;16;2;2065;260;112
2020-07-07;5;211;1;75;312;15;2;2237;250;101
2020-07-11;2;222;1;75;324;2;4;2326;250;107
2020-07-12;3;236;5;99;333;1;6;2127;226;85
2020-07-17;4;277;2;81;371;3;2;2626;288;109
2020-07-29;3;194;1;83;343;9;2;2404;250;97
2020-07-31;2;198;2;81;341;24;6;2290;259;117
2020-08-04;0;220;1;101;308;11;4;2320;277;102
2020-08-27;4;211;4;95;349;6;3;2414;253;98
2020-08-31;2;192;5;87;335;7;6;2248;290;111
2020-09-09;3;202;3;75;368;18;3;2340;268;102
2020-09-24;2;213;4;78;330;13;1;2141;237;113
2020-09-25;3;208;3;82;338;12;5;2242;251;107
2020-09-28;3;228;4;91;355;14;2;2320;268;97
2020-09-29;4;228;1;82;358;20;3;2255;262;101
2020-10-07;3;216;7;92;331;21;3;2281;266;129
2020-10-09;2;216;3;68;336;20;8;2291;252;119
2020-10-14;6;206;3;64;332;18;4;2160;237;126
2020-10-20;2;215;2;86;348;11;2;2296;256;103
2020-10-24;1;197;3;85;256;0;4;1979;254;100
2020-10-25;1;221;3;71;274;0;4;1984;236;96
2020-11-02;2;240;3;96;332;11;3;2500;308;120
2020-11-09;4;241;1;96;330;5;4;2529;284;129
2020-11-10;2;237;3;84;351;13;3;2302;259;145
2020-11-12;4;228;3;94;325;13;7;2404;257;128
2020-11-17;1;222;0;79;348;8;2;2286;237;118
2020-11-18;4;206;4;75;327;14;6;2410;253;113
2020-11-21;2;213;3;77;307;0;5;2076;225;88
2020-11-24;2;204;5;89;300;9;1;2235;232;106
2020-11-30;9;226;0;86;334;4;1;2232;248;102
2020-12-01;2;209;3;74;269;0;2;2115;249;104
2020-12-02;0;241;0;94;299;12;4;2562;286;128
2020-12-09;2;202;4;87;338;10;3;2657;287;152
2020-12-12;1;219;3;105;334;0;1;2384;245;107
2020-12-14;1;260;1;98;334;11;2;2540;285;140
2020-12-18;1;247;4;83;357;9;4;2391;245;130
2020-12-26;1;230;2;88;325;0;2;2383;272;103
2020-12-30;0;238;1;98;349;26;7;2335;271;134
2021-01-03;5;257;2;115;349;0;8;2512;242;104
2021-01-10;3;270;1;104;346;0;5;2595;280;105
2021-01-11;5;295;2;125;422;38;3;3055;337;138
2021-01-28;0;227;2;89;328;13;6;2200;245;73
2021-01-31;1;198;5;76;283;0;3;1903;220;109
2021-02-09;0;204;1;63;297;11;2;1927;206;105
2021-02-10;2;181;2;80;308;15;0;2000;198;100
2021-02-11;1;213;4;77;319;12;1;2020;177;83
2021-02-20;1;203;1;63;283;0;0;1686;172;89
2021-02-25;2;195;4;79;312;16;3;1881;188;89
2021-03-01;3;204;4;61;313;25;2;1966;192;85
2021-03-04;3;169;3;79;326;14;2;1761;165;79
2021-03-07;3;202;0;73;308;0;8;1756;193;76
2021-03-09;6;220;2;80;330;38;5;1946;201;86
2021-03-13;1;191;1;75;325;0;3;1777;200;84
2021-03-14;2;202;4;73;305;0;5;1852;189;94
2021-03-19;3;206;2;79;363;22;10;2054;197;83
2021-03-20;2;198;3;61;352;0;3;1853;180;70
2021-03-24;2;181;2;68;350;25;2;2031;188;81
2021-03-27;3;211;1;81;364;0;3;1981;208;70
2021-03-28;3;183;1;72;340;0;5;1896;216;92
2021-03-29;2;219;1;85;358;32;10;2206;200;112
2021-03-31;2;223;4;96;370;29;4;2231;228;82
2021-04-05;9;223;0;94;363;14;10;2209;226;103
2021-04-06;4;224;1;85;354;23;0;2130;0;87
2021-04-12;10;217;2;94;362;20;7;2205;222;90
2021-04-14;3;222;2;74;385;17;0;2118;240;93
2021-04-20;4;214;1;84;378;14;4;2158;219;98
2021-04-22;3;222;7;69;396;35;2;2345;227;106
2021-04-30;2;216;2;95;386;44;7;2367;234;92
2021-05-02;2;231;2;92;345;0;8;2073;178;73
2021-05-16;4;223;2;93;375;0;6;2268;204;96
2021-05-24;1;226;2;95;403;23;2;2463;235;114
2021-05-28;4;258;3;85;357;25;4;2568;253;135
2021-06-01;3;204;3;76;317;20;4;2455;238;111
2021-06-04;5;227;4;95;378;15;4;2459;267;125
2021-06-06;2;227;2;77;323;0;6;2241;215;93
2021-06-08;5;215;3;89;348;35;3;2470;249;126
2021-06-10;2;202;3;93;312;0;5;2322;231;101
2021-06-12;1;239;2;106;316;8;4;2534;250;92
2021-07-02;2;237;1;82;364;22;3;2581;247;121
2021-07-07;3;214;2;81;369;25;5;2464;232;115
2021-07-17;3;279;4;115;347;2;3;2755;286;127
2021-08-01;5;212;2;102;319;1;1;2319;231;95
2021-08-09;3;254;5;101;413;15;3;2796;254;91
2021-08-11;2;259;5;114;404;24;5;2683;239;114
2021-08-13;6;272;3;111;389;19;7;2740;237;113
2021-08-16;4;260;3;114;399;21;6;2848;294;111
2021-08-23;4;237;2;108;422;18;5;2736;272;102
2021-08-28;1;213;0;107;352;5;3;2410;237;114
2021-08-29;4;204;4;92;347;2;3;2341;209;89
2021-08-30;5;226;3;96;359;29;4;2634;240;109
2021-08-31;5;206;2;93;339;24;2;2571;268;111
2021-09-10;6;247;6;87;354;19;5;2579;254;105
2021-09-19;3;218;2;89;294;0;8;2435;208;96
2021-10-03;3;217;5;104;287;0;4;2242;210;111
2021-10-05;2;207;2;90;352;0;4;2351;212;132
2021-10-10;2;225;2;92;340;0;5;2562;237;111
2021-10-11;3;249;4;95;398;23;1;2862;259;116
2021-11-06;9;239;5;92;361;0;4;2391;243;126
2021-11-09;4;264;2;89;399;35;6;2842;264;105
2021-11-15;2;261;3;103;400;25;2;2801;281;133
2021-11-16;4;231;2;92;355;23;2;2569;246;115
2021-11-17;4;221;2;92;390;19;4;2715;255;124
2021-11-18;7;229;7;126;380;34;3;2631;262;121
2021-11-20;3;252;6;122;333;0;2;2575;241;112
2021-11-29;3;277;2;112;367;17;1;2872;257;147
2021-12-03;3;250;4;101;301;18;1;2701;249;123
2021-12-06;1;236;1;88;360;23;1;2816;272;119
2021-12-07;3;272;3;106;361;27;6;2737;275;144
2021-12-11;0;258;2;105;325;0;6;2544;258;139
2021-12-13;4;246;3;101;314;17;6;2890;277;113
2021-12-14;2;237;4;109;355;19;2;2605;257;121
2021-12-15;2;239;4;110;349;18;5;2644;251;137
2021-12-18;3;245;1;108;352;0;5;2608;243;113
2021-12-29;0;218;5;115;324;17;4;2572;273;120
2022-01-09;2;236;3;107;292;0;7;2429;243;95
2022-01-10;4;240;1;99;372;19;2;2827;226;108
2022-01-11;3;227;6;110;388;22;4;2672;275;116
2022-01-17;4;234;1;100;374;20;7;2878;267;131
2022-01-22;6;236;0;105;336;0;4;2513;250;124
2022-01-24;4;265;1;98;352;17;6;2993;278;120
2022-01-26;0;242;2;88;372;20;5;2700;234;125
2022-01-31;1;252;6;87;384;34;7;2776;280;110
2022-02-07;4;242;2;111;378;19;5;2879;268;131
2022-02-12;3;241;4;102;326;0;7;2524;212;126
2022-02-17;5;239;5;111;369;22;4;2763;254;127
2022-02-20;4;277;5;98;351;0;3;2445;237;123
2022-02-21;6;268;5;122;383;21;3;2802;278;121
2022-02-23;1;237;3;89;371;37;6;2537;238;134
2022-02-26;4;256;0;104;325;0;3;2350;237;115
2022-03-07;3;246;6;107;382;21;5;2694;271;118
2022-03-15;1;238;4;89;384;15;2;2805;250;109
2022-03-18;2;259;4;101;394;29;5;2897;281;122
2022-03-26;4;264;2;107;334;0;3;2727;228;136
2022-04-09;0;238;5;104;332;0;4;2705;259;127
2022-04-11;1;215;5;108;314;12;4;2737;278;146
2022-04-15;5;238;4;98;328;0;2;2536;297;132
2022-04-18;4;223;6;106;319;25;11;2621;241;128
2022-04-24;1;251;1;102;302;0;4;2617;240;153
2022-04-26;0;221;1;98;337;23;6;2707;289;143
2022-05-11;5;240;3;106;358;21;5;2889;264;137
