periodo;regiao;no_transportes;no_utentes;valor
2021-03;Região de Saúde do Algarve;6519.0;612.0;206475.83
2021-04;Região de Saúde do Alentejo;3041.0;721.0;123094.12
2021-05;Região de Saúde LVT;63853.0;5911.0;2096522.56
2021-06;Região de Saúde do Alentejo;2896.0;615.0;113613.86
2021-07;Região de Saúde do Alentejo;3398.0;693.0;129149.81
2021-07;Região de Saúde do Algarve;7054.0;686.0;215101.94
2021-08;Região de Saúde do Centro;29763.0;3860.0;838602.04
2021-09;Região de Saúde do Algarve;7031.0;672.0;221700.39
2021-10;Região de Saúde do Algarve;6931.0;666.0;207865.36
2021-11;Região de Saúde LVT;63994.0;6379.0;2144743.74
2021-11;Região de Saúde do Alentejo;3222.0;733.0;112037.54
2022-01;Região de Saúde do Norte;84423.0;8429.0;2162018.04
2022-02;Região de Saúde do Algarve;6139.0;654.0;188857.62
2022-04;Região de Saúde do Algarve;6397.0;658.0;199443.0
2022-05;Região de Saúde do Alentejo;3663.0;723.0;119960.62
2022-06;Região de Saúde do Norte;89034.0;9266.0;2239733.99
2022-06;Região de Saúde do Alentejo;3441.0;681.0;110550.75
2022-07;Região de Saúde do Norte;95949.0;9440.0;2963736.35
2022-07;Região de Saúde LVT;67381.0;6422.0;3034408.17
2022-08;Região de Saúde do Alentejo;3627.0;686.0;143579.9
2022-09;Região de Saúde do Centro;33529.0;4234.0;973507.2
2022-09;Região de Saúde LVT;67117.0;6489.0;2541954.31
2022-10;Região de Saúde do Norte;96671.0;9965.0;2434243.03
2022-11;Região de Saúde do Centro;33898.0;4415.0;998859.92
2022-12;Região de Saúde do Alentejo;3701.0;657.0;126197.92
2022-12;Região de Saúde do Algarve;7134.0;737.0;225861.83
2023-02;Região de Saúde do Algarve;6745.0;734.0;199216.35
2023-03;Região de Saúde LVT;75686.0;6804.0;2701630.42
2023-04;Região de Saúde do Norte;90110.0;10006.0;2481400.39
2023-04;Região de Saúde LVT;64958.0;6600.0;2327762.96
2023-05;Região de Saúde do Norte;111117.0;10596.0;2982756.72
2023-06;Região de Saúde do Norte;100325.0;10408.0;2536013.53
2023-07;Região de Saúde do Norte;102264.0;10561.0;2766818.74
2023-07;Região de Saúde LVT;70599.0;6725.0;2703793.53
2023-09;Região de Saúde do Alentejo;4013.0;633.0;136040.75
2023-11;Região de Saúde do Centro;34155.0;4318.0;1070666.8
2024-01;Região de Saúde do Norte;107473.0;10733.0;2891877.63
2024-03;Região de Saúde LVT;69941.0;6706.0;2621350.48999999
2024-05;Região de Saúde do Alentejo;7985.0;1736.0;322916.71
2024-06;Região de Saúde do Alentejo;7611.0;1656.0;306533.44
2024-08;Região de Saúde do Centro;31852.0;4154.0;1042481.6
2014-01;Região de Saúde do Norte;73224.0;6280.0;1211524.89
2014-04;Região de Saúde do Centro;29506.0;4402.0;717885.589999999
2014-05;Região de Saúde do Norte;84625.0;8482.0;1373388.07999999
2014-05;Região de Saúde do Centro;31626.0;4565.0;759893.569999999
2014-06;Região de Saúde do Algarve;7838.0;787.0;220784.46
2014-08;Região de Saúde do Centro;28665.0;3846.0;691401.49
2014-09;Região de Saúde do Centro;30537.0;3978.0;725208.299999999
2014-11;Região de Saúde do Centro;29153.0;3895.0;687291.77
2015-01;Região de Saúde LVT;63823.0;5910.0;1327061.75
2015-05;Região de Saúde do Norte;85567.0;9422.0;1530323.09999999
2015-05;Região de Saúde LVT;63608.0;6103.0;1315453.57
2015-06;Região de Saúde do Algarve;8834.0;818.0;257428.76
2015-06;Região de Saúde do Centro;32234.0;4107.0;720595.96
2015-06;Região de Saúde LVT;64474.0;6174.0;1331917.04
2015-11;Região de Saúde do Alentejo;5334.0;1374.0;212781.47
2015-12;Região de Saúde do Norte;77851.0;8967.0;1462293.91999999
2015-12;Região de Saúde do Centro;29694.0;4008.0;709076.16
2016-04;Região de Saúde do Algarve;8597.0;795.0;252780.69
2016-06;Região de Saúde do Alentejo;6543.0;1409.0;255753.17
2016-06;Região de Saúde do Algarve;8557.0;808.0;249016.05
2016-07;Região de Saúde LVT;65484.0;6401.0;1369184.14
2016-07;Região de Saúde do Algarve;8624.0;842.0;242683.67
2016-08;Região de Saúde do Norte;81520.0;9148.0;1559976.57999999
2016-11;Região de Saúde do Centro;33639.0;4491.0;771431.26
2016-12;Região de Saúde do Norte;79833.0;9271.0;1544439.44999999
2016-12;Região de Saúde do Centro;31796.0;4479.0;758559.54
2017-01;Região de Saúde do Alentejo;6839.0;1706.0;274714.899999999
2017-02;Região de Saúde LVT;62174.0;6420.0;1324421.69
2017-03;Região de Saúde LVT;72173.0;6789.0;1547458.96
2017-06;Região de Saúde LVT;68076.0;6775.0;1471608.18
2017-06;Região de Saúde do Alentejo;7038.0;1609.0;272149.96
2017-07;Região de Saúde do Centro;34409.0;4586.0;816352.49
2017-09;Região de Saúde LVT;68429.0;6715.0;1489160.63
2017-12;Região de Saúde LVT;65349.0;6536.0;1453466.46
2017-12;Região de Saúde do Norte;79925.0;9615.0;1534538.26999999
2018-01;Região de Saúde do Centro;33965.0;4710.0;804816.91
2018-01;Região de Saúde LVT;67217.0;6705.0;1504678.27
2018-01;Região de Saúde do Algarve;9964.0;971.0;280314.32
2018-03;Região de Saúde do Algarve;9627.0;952.0;255654.85
2018-07;Região de Saúde LVT;71858.0;6954.0;1601209.86
2018-08;Região de Saúde do Norte;91317.0;9709.0;1688224.56999999
2018-08;Região de Saúde do Alentejo;4754.0;942.0;168889.38
