RESERVA_TER_COD,RESERVA_LOCAL,RESERVA_DESTINO,RESERVA_DESCRICAO,RESERVA_POSICAO,VEICULO,RESERVA_TIPO_FACT,PED_COD_SERVICO,PED_NUM_VEICULOS,PED_NUM_BOMBEIROS,PED_KILOMETROS,PED_LOCAL,DURACAO_MINUTOS,ANO,MES,DIA_SEMANA,HORA_SAIDA_NUM,MINUTOS_SAIDA,TURNO
1,5,38,3,1,9,1,4119,1,1,332,40,345,2005,1,0,7,450,3
3,5,11,3,2,8,4,4119,1,1,84,7,270,2005,1,0,8,510,3
1,5,38,3,1,1,1,4119,1,1,340,6,755,2005,1,0,8,505,3
1,5,39,2,1,7,1,4119,1,1,180,41,170,2005,1,0,13,780,1
1,5,40,2,1,2,1,4119,1,1,60,42,102,2005,1,0,13,828,1
1,5,26,4,1,9,1,4119,1,1,321,30,250,2005,1,0,15,910,1
3,5,20,3,2,7,4,4119,1,1,120,22,149,2005,1,0,16,961,1
2,5,13,4,1,5,3,4103,1,2,8,43,26,2005,1,0,17,1049,1
1,5,10,1,2,7,1,4119,1,1,330,6,230,2005,1,0,18,1120,1
1,5,41,4,2,8,1,4119,1,1,90,44,90,2005,1,0,19,1140,2
1,5,42,3,2,10,1,4119,1,1,110,45,120,2005,1,0,20,1200,2
2,5,43,4,1,2,1,4119,1,2,7,7,60,2005,1,0,21,1310,2
1,1,44,2,1,10,1,4119,1,1,160,46,1305,2005,1,0,22,1320,2
1,5,10,3,1,11,1,4119,1,1,320,6,450,2005,1,1,7,450,3
1,5,45,2,2,2,1,4119,1,1,55,47,94,2005,1,1,14,846,1
1,5,46,2,1,3,1,4119,1,1,80,36,90,2005,1,1,13,810,1
1,5,47,2,1,9,2,4119,1,1,115,48,174,2005,1,1,13,811,1
1,5,47,2,2,9,2,4119,1,1,115,48,174,2005,1,1,13,811,1
1,5,48,4,2,1,2,4119,1,1,180,49,180,2005,1,1,17,1020,1
1,5,49,2,1,7,1,4119,1,1,170,50,180,2005,1,1,17,1020,1
1,5,3,2,2,10,1,4119,1,1,80,32,105,2005,1,1,20,1230,2
1,5,50,4,1,1,1,4119,1,1,182,51,1175,2005,1,1,20,1250,2
1,5,51,2,1,2,1,4119,1,1,168,52,1273,2005,1,1,21,1303,2
3,5,10,5,2,9,2,4119,1,1,321,18,564,2005,1,2,7,421,3
3,5,37,3,2,3,1,4119,1,1,370,18,644,2005,1,2,7,436,3
3,14,10,6,1,3,4,4119,1,1,370,18,644,2005,1,2,7,436,3
3,5,10,6,2,4,1,4119,1,1,320,18,519,2005,1,2,8,481,3
3,5,20,6,2,9,2,4119,1,1,190,53,299,2005,1,2,8,511,3
3,5,10,6,2,13,2,4119,1,1,345,38,510,2005,1,2,10,600,3
3,5,10,5,2,13,1,4119,1,1,345,38,510,2005,1,2,10,600,3
3,5,52,3,1,2,2,4119,1,1,65,54,134,2005,1,2,13,781,1
1,5,53,4,1,7,1,4119,1,1,100,55,135,2005,1,2,14,855,1
1,5,54,2,1,1,1,4119,1,1,22,56,50,2005,1,2,19,1150,2
1,15,55,10,1,10,1,4119,1,2,80,57,1335,2005,1,2,23,1425,2
3,5,10,3,2,12,4,4119,1,1,380,14,450,2005,1,3,6,360,4
1,5,56,3,1,6,1,4119,1,1,320,58,315,2005,1,3,7,450,3
3,5,57,6,2,8,4,4119,1,1,80,59,59,2005,1,3,8,481,3
3,5,20,6,2,6,2,4119,1,1,120,60,265,2005,1,3,14,845,1
3,5,20,6,1,6,2,4119,1,1,120,60,265,2005,1,3,14,845,1
1,16,58,10,1,9,1,4119,1,1,194,61,210,2005,1,3,16,970,1
1,17,59,2,2,7,1,4119,1,1,160,62,170,2005,1,3,17,1045,1
1,18,44,2,1,6,1,4119,1,2,170,46,140,2005,1,3,19,1150,2
1,19,60,2,1,1,1,4119,1,1,35,63,35,2005,1,3,17,1075,1
1,5,61,4,1,10,1,4119,1,1,20,64,50,2005,1,3,20,1210,2
1,20,62,4,1,10,1,4119,1,1,130,65,1320,2005,1,3,22,1320,2
2,5,43,11,1,10,3,4119,1,1,10,7,45,2005,1,4,6,375,4
3,5,10,3,2,4,4,4119,1,1,350,5,810,2005,1,4,6,390,4
1,5,63,4,1,2,1,4119,1,2,10,66,30,2005,1,4,13,810,1
1,5,64,2,1,11,1,4119,1,2,80,67,95,2005,1,4,14,865,1
3,21,20,6,2,8,4,4119,1,1,190,22,210,2005,1,4,14,870,1
1,22,52,2,1,2,1,4119,1,2,12,7,52,2005,1,4,20,1245,2
1,1,65,12,2,12,1,4119,1,1,90,68,88,2005,1,4,21,1265,2
1,5,66,4,1,1,1,4119,1,1,130,69,135,2005,1,4,18,1135,1
1,1,67,4,2,7,1,4119,1,1,100,70,1310,2005,1,4,23,1430,2
1,5,35,4,1,1,1,4119,1,1,320,6,230,2005,1,5,0,50,4
1,5,68,4,1,1,1,4119,1,1,193,71,235,2005,1,5,10,625,3
1,5,10,2,1,11,1,4119,1,1,320,18,280,2005,1,5,13,780,1
1,5,10,3,1,11,1,4119,1,1,320,18,280,2005,1,5,13,780,1
1,5,10,5,1,3,1,4119,1,1,330,18,350,2005,1,5,14,870,1
1,5,10,3,1,1,1,4119,1,1,320,18,295,2005,1,5,14,865,1
1,5,10,3,1,1,1,4119,1,1,320,18,295,2005,1,5,14,865,1
1,5,69,2,1,2,1,4119,1,1,137,72,190,2005,1,5,14,855,1
1,5,20,1,1,11,1,4119,1,2,120,53,255,2005,1,5,17,1040,1
1,5,10,4,1,1,1,4119,1,1,322,73,385,2005,1,0,7,420,3
3,5,10,4,2,7,4,4119,1,1,350,5,330,2005,1,0,8,480,3
3,23,20,6,2,8,4,4119,1,1,190,22,285,2005,1,0,8,480,3
3,21,20,6,2,8,2,4119,1,1,190,22,240,2005,1,0,14,870,1
1,5,70,4,1,3,1,4119,1,2,147,74,175,2005,1,0,16,970,1
